127.0.0.1 - - [02/Jul/2018:09:19:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/login.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/css/font-face.css HTTP/1.1" 200 14219
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/font-awesome-4.7/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/font-awesome-5/css/fontawesome-all.min.css HTTP/1.1" 200 35363
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/bootstrap-4.1/bootstrap.min.css HTTP/1.1" 200 140427
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/bootstrap-progressbar/bootstrap-progressbar-3.3.4.min.css HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/animsition/animsition.min.css HTTP/1.1" 200 27484
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/wow/animate.css HTTP/1.1" 200 78546
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/css/theme.css HTTP/1.1" 200 235190
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:25 +0530] "GET /funbook_app/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 200 20500
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/vendor/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 200 50682
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-200.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-100.eot? HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-200italic.eot? HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-100italic.eot? HTTP/1.1" 200 9461
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-600italic.eot? HTTP/1.1" 200 10060
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 200 8616
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/fonts/poppins/poppins-v5-latin-900italic.eot? HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/vendor/slick/slick.min.js HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/vendor/animsition/animsition.min.js HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:26 +0530] "GET /funbook_app/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/wow/wow.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/counter-up/jquery.counterup.min.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/circle-progress/circle-progress.min.js HTTP/1.1" 200 4454
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/counter-up/jquery.waypoints.min.js HTTP/1.1" 200 8839
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 200 36152
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/chartjs/Chart.bundle.min.js HTTP/1.1" 200 211142
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/images/icon/logo.png HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:27 +0530] "GET /funbook_app/js/main.js HTTP/1.1" 200 41253
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/login.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/vendor/font-awesome-5/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/vendor/animsition/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/css/font-face.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/vendor/font-awesome-4.7/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/vendor/bootstrap-4.1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:41 +0530] "GET /funbook_app/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/bootstrap-progressbar/bootstrap-progressbar-3.3.4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/wow/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/images/icon/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:09:19:42 +0530] "GET /funbook_app/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 304 -
